Removed Pin From Net: NetName=GND Pin=B1-1
Removed Pin From Net: NetName=IO5 Pin=B1-2
Change Component Footprint: Designator=B1 Old Footprint=BUZZER_HNB09A03 New Footprint=SMD-8503-3627-16O
Change Component Comment : Designator=B1 Old Comment=HNB09A03 New Comment=SMD-8503-3627-16
Change component parameters: Designator = "B1" ("B1"); Footprint = "BUZZER_HNB09A03"; UniqueID = "\NXFKMXDZ" ("\NXFKMXDZ")
Add component (AddParameter): Name = "Height"; Value = "0.026inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "RMCF0805JT680R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "125mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.10000, 10=0.01800, 100=0.00750, 1000=0.00337, 2500=0.00292 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "680R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistor Type"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "RMCF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "436918"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "RMCF0805JT680RCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "200ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
Added Component: Designator=R31(R0805)
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Chip SMD Resistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Construction"; Value = "Rectangular"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Moisture Resistant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.024inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "RC0805FR-0710KL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "125mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "125mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "5000=0.00544 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10kR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistor Type"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "RC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size Code"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "1849576"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-10.0KCRTR-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "THICK FILM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "150V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
Added Component: Designator=R32(R0805)
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Chip SMD Resistors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Construction"; Value = "Rectangular"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Moisture Resistant"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.024inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "RC0805FR-0710KL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "125mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "125mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "5000=0.00544 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10kR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistor Type"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "RC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size Code"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "1849576"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-10.0KCRTR-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Technology"; Value = "THICK FILM"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "150V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
Added Component: Designator=T2(TRANS_MMBT2907A)
Added Component: Designator=T3(TRANS_MMBT2907A)
Added Pin To Net: NetName=IO5 Pin=B1-1
Added Pin To Net: NetName=GND Pin=B1-2
Added Pin To Net: NetName=GND Pin=BAT1-2
Added Pin To Net: NetName=GND Pin=C24-1
Added Pin To Net: NetName=GND Pin=C25-1
Added Pin To Net: NetName=GND Pin=C26-1
Added Pin To Net: NetName=GND Pin=C27-1
Added Pin To Net: NetName=+3.7V_B Pin=D8-2
Added Pin To Net: NetName=+3.7V_B Pin=D9-2
Added Pin To Net: NetName=GND Pin=J3-G1
Added Pin To Net: NetName=GND Pin=J3-G2
Added Pin To Net: NetName=GND Pin=J3-G3
Added Pin To Net: NetName=GND Pin=J4-G1
Added Pin To Net: NetName=GND Pin=J4-G2
Added Pin To Net: NetName=GND Pin=J4-G3
Added Pin To Net: NetName=GND Pin=R31-1
Added Pin To Net: NetName=GND Pin=R32-1
Added Pin To Net: NetName=GND Pin=T2-1
Added Pin To Net: NetName=GND Pin=T3-1
Added Pin To Net: NetName=GPS_ANT Pin=C24-2
Added Pin To Net: NetName=GPS_ANT Pin=R25-1
Added Pin To Net: NetName=GPS_ANT Pin=U2-35
Added Net: Name=GPS_ANT
Added Pin To Net: NetName=GSM_ANT Pin=C26-2
Added Pin To Net: NetName=GSM_ANT Pin=R27-1
Added Pin To Net: NetName=GSM_ANT Pin=U2-66
Added Net: Name=GSM_ANT
Added Pin To Net: NetName=NetANT1_1 Pin=ANT1-1
Added Pin To Net: NetName=NetANT1_1 Pin=R23-2
Added Net: Name=NetANT1_1
Added Pin To Net: NetName=NetANT2_1 Pin=ANT2-1
Added Pin To Net: NetName=NetANT2_1 Pin=R24-2
Added Net: Name=NetANT2_1
Added Pin To Net: NetName=NetBAT1_1 Pin=BAT1-1
Added Pin To Net: NetName=NetBAT1_1 Pin=BAT1-1
Added Pin To Net: NetName=NetBAT1_1 Pin=BAT1-1
Added Pin To Net: NetName=NetBAT1_1 Pin=D7-2
Added Net: Name=NetBAT1_1
Added Pin To Net: NetName=NetC25_2 Pin=C25-2
Added Pin To Net: NetName=NetC25_2 Pin=R23-1
Added Pin To Net: NetName=NetC25_2 Pin=R25-2
Added Pin To Net: NetName=NetC25_2 Pin=R26-1
Added Net: Name=NetC25_2
Added Pin To Net: NetName=NetC27_2 Pin=C27-2
Added Pin To Net: NetName=NetC27_2 Pin=R24-1
Added Pin To Net: NetName=NetC27_2 Pin=R27-2
Added Pin To Net: NetName=NetC27_2 Pin=R28-1
Added Net: Name=NetC27_2
Added Pin To Net: NetName=NetD7_1 Pin=D7-1
Added Pin To Net: NetName=NetD7_1 Pin=U2-17
Added Net: Name=NetD7_1
Added Pin To Net: NetName=NetD8_1 Pin=D8-1
Added Pin To Net: NetName=NetD8_1 Pin=R29-2
Added Net: Name=NetD8_1
Added Pin To Net: NetName=NetD9_1 Pin=D9-1
Added Pin To Net: NetName=NetD9_1 Pin=R30-2
Added Net: Name=NetD9_1
Added Pin To Net: NetName=NetJ3_1 Pin=J3-1
Added Pin To Net: NetName=NetJ3_1 Pin=R26-2
Added Net: Name=NetJ3_1
Added Pin To Net: NetName=NetJ4_1 Pin=J4-1
Added Pin To Net: NetName=NetJ4_1 Pin=R28-2
Added Net: Name=NetJ4_1
Added Pin To Net: NetName=NetR29_1 Pin=R29-1
Added Pin To Net: NetName=NetR29_1 Pin=T2-2
Added Net: Name=NetR29_1
Added Pin To Net: NetName=NetR30_1 Pin=R30-1
Added Pin To Net: NetName=NetR30_1 Pin=T3-2
Added Net: Name=NetR30_1
Added Pin To Net: NetName=NET Pin=R31-2
Added Pin To Net: NetName=NET Pin=T2-3
Added Pin To Net: NetName=NET Pin=U2-50
Added Net: Name=NET
Added Pin To Net: NetName=STATUS Pin=R32-2
Added Pin To Net: NetName=STATUS Pin=T3-3
Added Pin To Net: NetName=STATUS Pin=U2-49
Added Net: Name=STATUS
